# V, B-V, Distance, M_V
1.539000000000000057e+01,1.451999999999999957e+00,3.707823507601038273e+03,2.544404732264457181e+00
1.263000000000000078e+01,2.869999999999999774e-01,2.671653753673523624e+03,4.960991355721109386e-01
1.433999999999999986e+01,1.211000000000000076e+00,2.455554464198015978e+02,7.389252143869704526e+00
1.357000000000000028e+01,9.759999999999999787e-01,2.511742395699897088e+02,6.570124519464933144e+00
1.628000000000000114e+01,1.324000000000000066e+00,3.463683280800803459e+02,8.582309133632996634e+00
1.514000000000000057e+01,1.250999999999999890e+00,7.690532953933707176e+02,5.710217812740388865e+00
1.550000000000000000e+01,6.620000000000000329e-01,7.737542556484061151e+02,6.056984746728030444e+00
1.406000000000000050e+01,9.030000000000000249e-01,5.722133211261158294e+02,5.272210180187654416e+00
1.344999999999999929e+01,1.320000000000000062e+00,5.649079200090385484e+02,4.690111682061768761e+00
1.560999999999999943e+01,-2.149999999999999967e-01,1.720874204095680682e+02,9.431254377193864613e+00
1.267999999999999972e+01,1.500000000000000000e+00,1.489203276247207668e+03,1.815230085023671336e+00
1.467999999999999972e+01,8.359999999999999654e-01,6.563833278634722319e+02,5.594212292793461216e+00
1.080000000000000071e+01,5.100000000000000089e-01,2.402171563093036468e+02,3.896979892567671300e+00
1.366999999999999993e+01,1.286999999999999922e+00,2.323420074349442530e+03,1.839361313291663080e+00
1.352999999999999936e+01,1.532000000000000028e+00,1.407459535538353293e+03,2.787820411317442293e+00
1.461999999999999922e+01,1.183999999999999941e+00,2.167175953015625396e+02,7.940529134398618183e+00
1.216999999999999993e+01,1.999000000000000110e+00,2.442598925256473194e+03,2.307391916324323944e-01
1.348000000000000043e+01,1.762999999999999901e+00,5.015045135406218719e+02,4.978625769878183505e+00
1.411999999999999922e+01,1.225000000000000089e+00,2.468282568988497871e+02,7.158025618802151158e+00
1.342999999999999972e+01,7.760000000000000231e-01,3.137156481365290119e+02,5.947319090766070460e+00
1.209999999999999964e+01,7.079999999999999627e-01,3.265519380857525107e+02,4.530238671789126315e+00
1.206000000000000050e+01,4.480000000000000093e-01,7.630675314765356916e+02,2.647185126413097223e+00
1.353999999999999915e+01,1.354999999999999982e+00,4.399472063352397527e+03,3.229971786248526655e-01
1.443999999999999950e+01,1.457000000000000073e+00,1.297538569333973442e+02,8.874398619420800216e+00
1.219999999999999929e+01,9.230000000000000426e-01,1.297134629603206406e+02,6.635074730761459705e+00
1.289000000000000057e+01,7.149999999999999689e-01,8.136696501220503706e+02,3.337759414432271754e+00
1.577999999999999936e+01,7.710000000000000187e-01,9.402914903620122686e+02,5.913687471193739498e+00
1.292999999999999972e+01,5.879999999999999671e-01,6.466632177961718071e+02,3.876609205102482747e+00
1.152999999999999936e+01,1.125999999999999890e+00,1.399776035834266395e+03,7.997072294024505368e-01
1.422000000000000064e+01,4.520000000000000129e-01,2.153779883695886383e+03,2.553993418330870568e+00
1.366999999999999993e+01,1.397999999999999909e+00,1.413028119259573259e+03,2.919245978026291155e+00
1.093999999999999950e+01,1.592999999999999972e+00,2.457606291472106477e+03,-1.012561550733574123e+00
1.556000000000000050e+01,9.370000000000000551e-01,1.699813020567737340e+03,4.407994241937233326e+00
1.149000000000000021e+01,7.359999999999999876e-01,1.859185304999349171e+02,5.143386609698913148e+00
1.058999999999999986e+01,2.469999999999999973e-01,4.784688995215311138e+02,2.190731430555269199e+00
1.172000000000000064e+01,1.334000000000000075e+00,4.269854824935951910e+03,-1.432065546318279203e+00
1.377999999999999936e+01,5.430000000000000382e-01,1.063151180097809856e+03,3.647024872050302235e+00
1.172000000000000064e+01,1.700000000000000122e-01,1.512172992590352351e+03,8.219926135199102646e-01
1.302999999999999936e+01,-2.489999999999999991e-01,5.196100845925217726e+01,9.451612143649553488e+00
1.173000000000000043e+01,6.480000000000000204e-01,2.645222727753676963e+02,4.617688772469186631e+00
1.244999999999999929e+01,1.625999999999999890e+00,1.933114247052000792e+03,1.018712392045411974e+00
1.160999999999999943e+01,1.655000000000000027e+00,5.585968048262764114e+02,2.874507763961727136e+00
9.779999999999999361e+00,2.020000000000000129e-01,4.228329809725158270e+02,1.649155725369150005e+00
1.148000000000000043e+01,1.872000000000000108e+00,1.801152737752161329e+03,2.022472872339946548e-01
1.078999999999999915e+01,1.362999999999999989e+00,5.688605722737356700e+02,2.014970830698343818e+00
1.408999999999999986e+01,9.100000000000000311e-01,5.468664552116373443e+02,5.400593577159387593e+00
1.308999999999999986e+01,1.282999999999999918e+00,2.206044562100154508e+03,1.371928595293439912e+00
1.400000000000000000e+01,4.689999999999999725e-01,2.193463478833077261e+03,2.294347961009812309e+00
1.414000000000000057e+01,3.380000000000000226e-01,2.692514808831448590e+03,1.989209497018809003e+00
1.477999999999999936e+01,1.397000000000000020e+00,3.392130257801899461e+03,2.127637395935069620e+00
1.416000000000000014e+01,4.159999999999999809e-01,4.833252779120348350e+03,7.388024533286738915e-01
1.057000000000000028e+01,6.089999999999999858e-01,1.726638580012431703e+02,4.383992797202720837e+00
1.456000000000000050e+01,2.379999999999999893e-01,2.681684097613301219e+03,2.417961916806534717e+00
1.473000000000000043e+01,3.669999999999999929e-01,2.481389578163771603e+03,2.756525230705548779e+00
