# Selected data from the catalog of Landolt (1992), Astronomical
# Journal, vol, 104, p. 340, supplemented by stellar parallaxes
# taken from Simbad via their web interface at
#        http://simbad.u-strasbg.fr/simbad/
#
# Columns:
#     0       Star name converted into a decimal number
#     1-3     Right ascension (hours, minutes, seconds)
#     4-6     Declination (degrees, minutes, seconds
#     7       V:  Magnitude in the V band (wavelength 0.55 micron)
#     8       BV: The B-V color (difference between B and
#             V magnitude). Blue wavelength 0.44 micron.
#     9       Parallax in milliarcsec
# 
# To read this file with numpy genfromtext:
#
#  import numpy as np
#  Landolt_data = np.genfromtxt(fname, unpack=True, names=True, skip_header=22)
#
#  where fname (a string) is the name of the file and
#        Landolt_data is a numpy array returned by genfromtxt.
#
 Star    rh rm rs    dd  dm ds     V        BV      par
95.139    03 55 05    +00 03 32    12.20    0.923   7.7093
95.066    03 55 07    -00 09 12    12.89    0.715   1.2290
95.227    03 55 08    +00 14 54    15.78    0.771   1.0635
95.142    03 55 09    +00 01 39    12.93    0.588   1.5464
95.074    03 55 31    -00 08 54    11.53    1.126   0.7144
95.231    03 55 39    +00 11 02    14.22    0.452   0.4643
95.284    03 55 44    +00 25 27    13.67    1.398   0.7077
95.149    03 55 44    +00 07 23    10.94    1.593   0.4069
95.285    03 55 46    +00 23 59    15.56    0.937   0.5883
95.236    03 56 13    +00 09 02    11.49    0.736   5.3787
96.036    04 51 43    -00 09 51    10.59    0.247   2.09
96.737    04 52 35    +00 22 50    11.72    1.334   0.2342
96.409    04 52 58    +00 09 26    13.78    0.543   0.9406
96.083    04 52 59    -00 14 22    11.72    0.170   0.6613
-0.071    05 52 28    +15 33 15    13.03   -0.249  19.2452
97.249    05 57 07    +00 01 34    11.73    0.648   3.7804
97.042    05 57 09    -00 10 50    12.45    1.626   0.5173
97.345    05 57 26    +00 20 48    11.61    1.655   1.7902
97.351    05 57 37    +00 14 05     9.78    0.202   2.3650
97.075    05 57 55    -00 09 07    11.48    1.872   0.5552
97.284    05 58 25    +00 05 35    10.79    1.363   1.7579
97.224    05 58 44    -00 04 50    14.09    0.910   1.8286
98.961    06 51 27    -00 15 15    13.09    1.283   0.4533
98.966    06 51 29    -00 16 05    14.00    0.469   0.4559
98.556    06 51 30    -00 24 30    14.14    0.338   0.3714
98.557    06 51 30    -00 24 45    14.78    1.397   0.2948
98.563    06 51 32    -00 26 04    14.16    0.416   0.2069
98.978    06 51 34    -00 11 06    10.57    0.609   5.7916
98.581    06 51 40    -00 25 21    14.56    0.238   0.3729
98.580    06 51 40    -00 26 21    14.73    0.367   0.4030
