# K, H-K
1.766900000000000048e+01,6.799999999999783995e-02
1.757700000000000173e+01,-8.500000000000085265e-02
1.666900000000000048e+01,3.359999999999985221e-01
1.743499999999999872e+01,6.099999999999994316e-02
1.655099999999999838e+01,1.630000000000002558e-01
1.637699999999999889e+01,5.579999999999998295e-01
1.611499999999999844e+01,6.190000000000033253e-01
1.415199999999999925e+01,1.156000000000000583e+00
1.206499999999999950e+01,8.650000000000002132e-01
1.722500000000000142e+01,1.349000000000000199e+00
1.340700000000000003e+01,1.110000000000006537e-01
1.806200000000000117e+01,2.179999999999999716e-01
1.649399999999999977e+01,1.498000000000001108e+00
1.542300000000000004e+01,2.400000000000002132e-01
1.718400000000000105e+01,1.717999999999999972e+00
1.608500000000000085e+01,1.847999999999998977e+00
1.679599999999999937e+01,1.150000000000002132e+00
1.678200000000000003e+01,1.483999999999998209e+00
1.464000000000000057e+01,1.596000000000000085e+00
1.696199999999999974e+01,1.917999999999999261e+00
1.749099999999999966e+01,7.169999999999987494e-01
1.686599999999999966e+01,1.510000000000001563e+00
1.712399999999999878e+01,1.634000000000000341e+00
1.801300000000000168e+01,1.339999999999967883e-01
1.791400000000000148e+01,9.740000000000001990e-01
1.063499999999999979e+01,9.710000000000000853e-01
1.440399999999999991e+01,1.096999999999999531e+00
1.637000000000000099e+01,5.699999999999860734e-02
1.487599999999999945e+01,1.552000000000001378e+00
1.580799999999999983e+01,8.999999999999985789e-02
1.687199999999999989e+01,1.539000000000001478e+00
1.695899999999999963e+01,1.798000000000001819e+00
1.491200000000000081e+01,1.660999999999999588e+00
1.584900000000000020e+01,9.220000000000005969e-01
1.627799999999999869e+01,1.458999999999999631e+00
1.785600000000000165e+01,5.749999999999992895e-01
1.493500000000000050e+01,1.360999999999998877e+00
1.533500000000000085e+01,1.707000000000000739e+00
1.737600000000000122e+01,-7.890000000000014779e-01
1.780999999999999872e+01,1.030000000000001137e+00
1.737199999999999989e+01,1.696000000000001506e+00
1.591000000000000014e+01,7.689999999999983515e-01
1.432399999999999984e+01,3.369000000000001549e+00
1.670899999999999963e+01,-5.609999999999999432e-01
1.648199999999999932e+01,1.240999999999999659e+00
1.480400000000000027e+01,2.406999999999998252e+00
1.507099999999999973e+01,1.538999999999999702e+00
1.066300000000000026e+01,7.500000000000000000e-01
1.381600000000000072e+01,1.433999999999999275e+00
1.194800000000000040e+01,1.628999999999999559e+00
1.433000000000000007e+01,1.109999999999999432e+00
1.369100000000000072e+01,9.659999999999993037e-01
1.503899999999999970e+01,1.673000000000000043e+00
1.715700000000000003e+01,3.129999999999988347e-01
1.698400000000000176e+01,1.417999999999999261e+00
1.529299999999999926e+01,7.409999999999996589e-01
1.719800000000000040e+01,1.021000000000000796e+00
1.462700000000000067e+01,-2.200000000000024158e-02
1.722899999999999920e+01,1.443000000000001393e+00
1.680799999999999983e+01,-1.350000000000015632e-01
1.434800000000000075e+01,1.950999999999998735e+00
1.764499999999999957e+01,9.860000000000006537e-01
1.782499999999999929e+01,1.339000000000002188e+00
1.781500000000000128e+01,7.119999999999997442e-01
1.783800000000000097e+01,7.139999999999986358e-01
1.778699999999999903e+01,1.500000000000000000e+00
1.554199999999999982e+01,3.258999999999998565e+00
1.645299999999999940e+01,3.200000000000002842e-02
1.763700000000000045e+01,1.069999999999993179e-01
1.444100000000000072e+01,1.347999999999998977e+00
1.446199999999999974e+01,1.477000000000000313e+00
1.752299999999999969e+01,1.460000000000000853e+00
1.753500000000000014e+01,1.329000000000000625e+00
1.783999999999999986e+01,8.060000000000009379e-01
1.709199999999999875e+01,1.409000000000002473e+00
1.397600000000000087e+01,1.502999999999998337e+00
1.271100000000000030e+01,1.749000000000000554e+00
1.453999999999999915e+01,1.696999999999999176e+00
1.465099999999999980e+01,2.336999999999999744e+00
1.497799999999999976e+01,1.023000000000001464e+00
1.666100000000000136e+01,-3.450000000000024158e-01
1.731099999999999994e+01,1.240999999999999659e+00
1.588400000000000034e+01,3.265999999999998238e+00
1.455000000000000071e+01,3.085000000000000853e+00
1.158600000000000030e+01,1.567999999999999616e+00
1.386299999999999955e+01,1.380000000000000782e+00
1.676399999999999935e+01,6.700000000000017053e-01
1.517500000000000071e+01,1.009999999999998010e+00
1.788700000000000045e+01,1.250000000000000000e-01
1.781599999999999895e+01,1.487000000000001876e+00
1.701099999999999923e+01,2.272000000000002018e+00
1.540700000000000003e+01,1.536000000000001364e+00
1.483200000000000074e+01,1.501999999999998892e+00
